ExposureNumber,FilePath,FilterName,ExposureStart,Duration,Binning,CameraTemp,CameraTargetTemp,Gain,Offset,ADUStDev,ADUMean,ADUMedian,ADUMin,ADUMax,DetectedStars,HFR,HFRStDev,FWHM,Eccentricity,GuidingRMS,GuidingRMSArcSec,GuidingRMSRA,GuidingRMSRAArcSec,GuidingRMSDEC,GuidingRMSDECArcSec,FocuserPosition,FocuserTemp,RotatorPosition,PierSide,Airmass,ExposureStartUTC,MountRA,MountDec
0,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-05_23-40-14_Barnard 150_UV-IR-cut_-10.00_300.00s_0000.xisf,UV/IR-cut,2025-08-05 23:40,300,1x1,-10,-10,0,50,419.969,1838.3656,1910,1332,65535,2200,1.7081,0.1906,NaN,NaN,0.1862,0.557,0.1655,0.4949,0.0855,0.2556,11019,25.62,NaN,West,1.15,2025-08-05T21:40:14.4175623Z,312.7711409712152,60.18496078769278
1,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-05_23-45-42_Barnard 150_UV-IR-cut_-9.90_300.00s_0001.xisf,UV/IR-cut,2025-08-05 23:45,300,1x1,-9.9,-10,0,50,425.3398,1708.0664,1678,1187,65535,1235,1.6797,0.1731,NaN,NaN,0.2109,0.6308,0.1961,0.5865,0.0776,0.2322,11019,25.45,NaN,West,1.1428,2025-08-05T21:45:42.9686913Z,312.76409569871856,60.18740354809257
2,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-05_23-51-11_Barnard 150_UV-IR-cut_-9.80_300.00s_0002.xisf,UV/IR-cut,2025-08-05 23:51,300,1x1,-9.8,-10,0,50,450.7613,1572.6574,1561,1119,65535,2053,1.7227,0.1999,NaN,NaN,0.2074,0.6204,0.1914,0.5725,0.0799,0.2391,11019,25.26,NaN,West,1.136,2025-08-05T21:51:11.5217542Z,312.7579799122115,60.19199472008355
3,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-05_23-56-33_Barnard 150_UV-IR-cut_-9.70_300.00s_0003.xisf,UV/IR-cut,2025-08-05 23:56,300,1x1,-9.7,-10,0,50,478.1161,1434.7106,1453,1048,65535,2918,1.7221,0.2077,NaN,NaN,0.1647,0.4925,0.1515,0.4531,0.0645,0.193,11019,25.28,NaN,West,1.1296,2025-08-05T21:56:33.3537736Z,312.7601494565024,60.19327105705171
4,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-02-00_Barnard 150_UV-IR-cut_-9.80_300.00s_0004.xisf,UV/IR-cut,2025-08-06 00:02,300,1x1,-9.8,-10,0,50,510.7093,1303.7832,1338,968,65535,5378,1.7805,0.2525,NaN,NaN,0.1845,0.5517,0.1632,0.4882,0.0859,0.2569,11019,25.29,NaN,West,1.1234,2025-08-05T22:02:00.0467054Z,312.7599776430315,60.1982627814054
5,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-07-26_Barnard 150_UV-IR-cut_-10.00_300.00s_0005.xisf,UV/IR-cut,2025-08-06 00:07,300,1x1,-10,-10,0,50,516.187,1228.5936,1255,892,65535,5902,1.8334,0.2475,NaN,NaN,0.1601,0.4788,0.1362,0.4075,0.0841,0.2515,11019,25.18,NaN,West,1.1175,2025-08-05T22:07:26.7490889Z,312.76839446428556,60.201675286912895
6,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-14-24_Barnard 150_UV-IR-cut_-9.90_300.00s_0006.xisf,UV/IR-cut,2025-08-06 00:14,300,1x1,-9.9,-10,0,50,529.1355,1188.8914,1211,852,65535,6318,1.8094,0.22,NaN,NaN,0.1906,0.57,0.1746,0.5221,0.0765,0.2288,11032,24.98,NaN,West,1.1104,2025-08-05T22:14:24.3243360Z,312.7649836783448,60.20688933399083
7,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-19-49_Barnard 150_UV-IR-cut_-9.80_300.00s_0007.xisf,UV/IR-cut,2025-08-06 00:19,300,1x1,-9.8,-10,0,50,537.7497,1163.5849,1182,831,65535,6367,1.8362,0.2208,NaN,NaN,0.2087,0.6241,0.1799,0.5381,0.1057,0.3162,11032,24.82,NaN,West,1.1051,2025-08-05T22:19:49.0000530Z,312.76960674250887,60.208486314049864
8,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-25-18_Barnard 150_UV-IR-cut_-10.00_300.00s_0008.xisf,UV/IR-cut,2025-08-06 00:25,300,1x1,-10,-10,0,50,541.5517,1150.9877,1170,815,65535,6512,1.8663,0.2161,NaN,NaN,0.2677,0.8008,0.2174,0.6501,0.1563,0.4675,11032,24.63,NaN,West,1.1,2025-08-05T22:25:18.6879585Z,312.7665104464851,60.20545243268305
9,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-30-46_Barnard 150_UV-IR-cut_-9.80_300.00s_0009.xisf,UV/IR-cut,2025-08-06 00:30,300,1x1,-9.8,-10,0,50,539.4583,1164.1213,1184,839,65535,6433,1.8467,0.226,NaN,NaN,0.2218,0.6634,0.1992,0.5957,0.0976,0.2919,11032,24.42,NaN,West,1.0952,2025-08-05T22:30:46.8524343Z,312.7609046065097,60.20585368124402
10,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-36-16_Barnard 150_UV-IR-cut_-9.90_300.00s_0010.xisf,UV/IR-cut,2025-08-06 00:36,300,1x1,-9.9,-10,0,50,540.2677,1173.6186,1194,839,65535,6235,1.8377,0.2218,NaN,NaN,0.2101,0.6283,0.1946,0.582,0.0792,0.2367,11032,24.42,NaN,West,1.0907,2025-08-05T22:36:16.5267450Z,312.7542035699007,60.204173479529004
11,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-41-45_Barnard 150_UV-IR-cut_-9.80_300.00s_0011.xisf,UV/IR-cut,2025-08-06 00:41,300,1x1,-9.8,-10,0,50,539.6405,1174.3157,1195,844,65535,6371,1.853,0.2248,NaN,NaN,0.1862,0.5568,0.1607,0.4806,0.094,0.2811,11032,24.13,NaN,West,1.0864,2025-08-05T22:41:45.2868630Z,312.76742682638053,60.20579681641165
12,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-47-14_Barnard 150_UV-IR-cut_-9.80_300.00s_0012.xisf,UV/IR-cut,2025-08-06 00:47,300,1x1,-9.8,-10,0,50,540.2112,1164.6824,1185,815,65535,6354,1.8282,0.2367,NaN,NaN,0.1646,0.4922,0.1467,0.4388,0.0746,0.223,11032,24.19,NaN,West,1.0824,2025-08-05T22:47:14.0306069Z,312.7620013501275,60.20240040439818
13,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-52-44_Barnard 150_UV-IR-cut_-9.80_300.00s_0013.xisf,UV/IR-cut,2025-08-06 00:52,300,1x1,-9.8,-10,0,50,542.3045,1152.7416,1173,812,65535,6759,1.881,0.24,NaN,NaN,0.182,0.5443,0.1532,0.4581,0.0983,0.294,11032,24.2,NaN,West,1.0786,2025-08-05T22:52:44.1999249Z,312.7548181839253,60.20299890896269
14,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_00-58-07_Barnard 150_UV-IR-cut_-9.80_300.00s_0014.xisf,UV/IR-cut,2025-08-06 00:58,300,1x1,-9.8,-10,0,50,544.3112,1137.7255,1156,814,65535,6724,1.8389,0.2537,NaN,NaN,0.1964,0.5874,0.1799,0.538,0.0788,0.2358,11032,24.35,NaN,West,1.0752,2025-08-05T22:58:07.2552017Z,312.7561665161544,60.20562119136459
15,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_01-03-34_Barnard 150_UV-IR-cut_-9.70_300.00s_0015.xisf,UV/IR-cut,2025-08-06 01:03,300,1x1,-9.7,-10,0,50,544.6524,1135.7228,1154,802,65535,6657,1.7822,0.2617,NaN,NaN,0.156,0.4665,0.1371,0.4101,0.0743,0.2223,11032,24.46,NaN,West,1.072,2025-08-05T23:03:34.3545215Z,312.75689261125353,60.20837513828208
16,C:/Users/otto/Documents/N.I.N.A/Images/2025-08-05/LIGHT_2025-08-06_01-09-01_Barnard 150_UV-IR-cut_-9.80_300.00s_0016.xisf,UV/IR-cut,2025-08-06 01:09,300,1x1,-9.8,-10,0,50,546.5876,1122.7586,1140,803,65535,6774,1.7574,0.2673,NaN,NaN,0.1769,0.5292,0.1607,0.4807,0.074,0.2212,11032,24.68,NaN,West,1.069,2025-08-05T23:09:01.9885984Z,312.754379594688,60.21133207525249
