ExposureNumber,ExposureStart,Temperature,DewPoint,Humidity,Pressure,WindSpeed,WindDirection,WindGust,CloudCover,SkyTemperature,SkyBrightness,SkyQuality,ExposureStartUTC
0,2025-08-05 23:40,23.2,7.8,37,881.9875,0,NaN,0,50,-2.8,NaN,18.58,2025-08-05T21:40:14.4175623Z
1,2025-08-05 23:45,23,7.6,37,881.9875,0,NaN,0,50,-2.8,NaN,18.66,2025-08-05T21:45:42.9686913Z
2,2025-08-05 23:51,23,7.5,37,881.9375,0,NaN,0,50,-2.7,NaN,18.68,2025-08-05T21:51:11.5217542Z
3,2025-08-05 23:56,23.2,7.7,37,881.9375,0,NaN,0,50,-2.6,NaN,18.81,2025-08-05T21:56:33.3537736Z
4,2025-08-06 00:02,23.5,7.5,36,881.875,0,NaN,0,50,-3.4,NaN,18.79,2025-08-05T22:02:00.0467054Z
5,2025-08-06 00:07,22.6,7.5,38,881.925,0.2777777777777778,NaN,0.5555555555555556,50,-3.6,NaN,18.81,2025-08-05T22:07:26.7490889Z
6,2025-08-06 00:14,21.9,7.7,40,881.9375,0,NaN,0,50,-3.6,NaN,18.88,2025-08-05T22:14:24.3243360Z
7,2025-08-06 00:19,21.8,7.6,40,881.9,0,NaN,0,50,-3.8,NaN,18.9,2025-08-05T22:19:49.0000530Z
8,2025-08-06 00:25,21.6,7.8,41,881.95,0,NaN,0,0,-4.1,NaN,18.92,2025-08-05T22:25:18.6879585Z
9,2025-08-06 00:30,21.4,7.6,41,881.9625,0,NaN,0,50,-3.9,NaN,18.92,2025-08-05T22:30:46.8524343Z
10,2025-08-06 00:36,21.3,7.8,42,882,0,NaN,0.2777777777777778,0,-4.1,NaN,18.91,2025-08-05T22:36:16.5267450Z
11,2025-08-06 00:41,20.9,7.8,43,882.0125,0.2777777777777778,NaN,0.5555555555555556,50,-3.8,NaN,18.92,2025-08-05T22:41:45.2868630Z
12,2025-08-06 00:47,21.1,7.7,42,882,0.5555555555555556,NaN,0.8333333333333333,50,-3.5,NaN,18.94,2025-08-05T22:47:14.0306069Z
13,2025-08-06 00:52,20.9,7.9,43,881.95,1.1111111111111112,NaN,1.1111111111111112,50,-3.5,NaN,18.96,2025-08-05T22:52:44.1999249Z
14,2025-08-06 00:58,21.8,7.6,40,881.875,1.1111111111111112,NaN,1.6666666666666665,50,-3.8,NaN,18.98,2025-08-05T22:58:07.2552017Z
15,2025-08-06 01:03,22.3,7.3,38,881.8125,0.8333333333333333,NaN,0.8333333333333333,50,-3.6,NaN,19.03,2025-08-05T23:03:34.3545215Z
16,2025-08-06 01:09,22.6,7.6,38,881.725,1.3888888888888888,NaN,1.6666666666666665,50,-3.8,NaN,19.06,2025-08-05T23:09:01.9885984Z
17,2025-08-06 01:14,22.6,7.2,37,881.6875,1.1111111111111112,NaN,1.3888888888888888,50,-3.3,NaN,19.05,2025-08-05T23:14:26.6350490Z
18,2025-08-06 01:19,23.5,7.2,35,881.6875,0.5555555555555556,NaN,0.8333333333333333,50,-3.9,NaN,19.08,2025-08-05T23:19:55.2839715Z
19,2025-08-06 01:25,22.8,7.8,38,881.6375,1.1111111111111112,NaN,1.3888888888888888,0,-4.3,NaN,19.11,2025-08-05T23:25:22.1571956Z
